Thomas Kraft (Fußballspieler),托馬斯·克拉夫特
Erich von dem Bach-Zelewski,埃里希·馮·登·巴赫-熱勒維斯基
Wilhelm II. (Württemberg),威廉二世·(符腾堡)
Anneliese Michel,安内利泽·米歇尔
Hans Jonas,汉斯·约纳斯
Otto Kretschmer (Marineoffizier),奧托·克雷奇默
Karl Schiller,卡尔·席勒
Richard Reinhard Emil Schorr,里夏德·朔尔
Theodor Hänsch,特奥多尔·亨施
Sebastian Brendel,塞巴斯蒂安·布伦德尔
Hans Rademacher,漢斯·拉德馬赫
Franz Josias (Sachsen-Coburg-Saalfeld),法蘭茲·約西亞斯·(薩克森-科堡-薩爾費爾德)
Alexander Wendt (Politikwissenschaftler),亚历山大·溫特
Friedrich Christian (Schaumburg-Lippe),腓特烈·克里斯蒂安·(紹姆堡-利珀)
Georg Johann I. (Pfalz-Veldenz),格奧爾格·約翰一世
Wolfgang Egger,沃尔夫冈·艾格
Ernst I. (Sachsen-Gotha-Altenburg),恩斯特一世·(薩克森-哥達)
Rudolf Schlechter,鲁道夫·施莱希特
Ulf Timmermann,乌尔夫·蒂默曼
Ernst Zermelo,恩斯特·策梅洛
Wilhelm Bittrich,威廉·毕特利希
Paul Hindemith,保羅·欣德米特
Günter Wächtershäuser,根特·瓦赫特绍泽
Tobias Wendl,托比亚斯·文德尔
Ernst Ruska,恩斯特·鲁斯卡
Klaus von Klitzing,克劳斯·冯·克利青
Elisabeth Pähtz,伊丽莎白·佩茨
Arthur Arno Wachmann,阿諾·阿圖爾·瓦赫曼
Gottfried Kirch,戈特弗里德·基希
Ralph Kronig,拉尔夫·克勒尼希
Matthias Kleinheisterkamp,马蒂亚斯·克莱因海斯特坎普
Heike Drechsler,海克·德雷克斯勒
Hans Modrow,汉斯·莫德罗
Gerhard Barkhorn,格爾哈德·巴克霍隆
Helmuth Weidling,赫尔穆特·魏德林
Elisabeth Schwarzkopf,伊丽莎白·施瓦茨科普夫
Wilhelm Furtwängler,威廉·富特文格勒
Ulrich Mühe,乌尔里希·穆埃
Gottfried Benn,戈特弗里德·贝恩
Britta Steffen,布丽塔·斯特芬
Ermanno Wolf-Ferrari,艾曼诺·沃尔夫-费拉里
Hannelore Kohl,汉内洛蕾·科尔
Johann von Leers,约翰·冯·莱斯
Benno von Arent (Architekt),本诺·冯·阿伦特
Günter Sawitzki,金特·萨维茨基
Violante Beatrix von Bayern,巴伐利亚的维奥兰特·贝娅特丽克丝
Wilhelm Fließ,威尔海姆·弗利斯
Henry Maske,亨利·马斯克
Ingrid Mickler-Becker,英格丽德·贝克尔
Mathilde von Sachsen,薩克森的瑪蒂爾德
August Ritter,格奥尔格·奥古斯特·迪特里希·李特尔
Peter Altmaier,彼得·阿爾特邁爾
Hasso Plattner,哈索·普拉特納
Theodor Blank,西奥多·布兰克
Kerstin Stegemann,克斯廷·施特格曼
Hannes Aigner (Kanute),汉内斯·艾格纳
Erich I. (Sachsen-Lauenburg),埃里希一世·(薩克森-勞恩堡)
August Wilhelm (Braunschweig-Wolfenbüttel-Bevern),奧古斯特·威廉·(不倫瑞克-沃爾芬比特爾-貝沃恩)
Johann Ernst (Sachsen-Eisenach),約翰·恩斯特·(薩克森-艾森納赫)
Lothar Thoms,洛塔尔·汤姆斯
Karen Horney,卡伦·霍妮
Magda Schneider,玛格达·施奈德
Peter Müller (Ministerpräsident),彼得·米勒·(政治人物)
Christl Cranz,克丽斯特尔·克兰茨
Ulrich Plenzdorf,烏爾里希·普倫茨多夫
Tron (Hacker),鲍里斯·佛罗瑞斯克
Oskar Kummetz,奧斯卡·庫梅茲
Elsa Einstein,爱尔莎·爱因斯坦
Karl Allgöwer,卡尔·阿尔格韦尔
Klaus-Dieter Sieloff,克劳斯-迪特尔·西洛夫
Ute Oberhoffner,乌特·奥伯霍夫纳
Wolfgang Rolff,沃尔夫冈·罗尔夫
Erich Mielke,埃里希·梅尔克
Walter Baade,沃尔特·巴德
Hans-Gert Pöttering,汉斯-格特·珀特林
Karl Hermann Frank,卡爾·赫曼·法蘭克
Volker Beck,伏爾克·貝克
Karl Rahner,卡爾·拉纳
Robert Michels,羅伯特·米契爾斯
Volker Schlöndorff,沃克·施隆多夫
Olga Oelkers,奥尔加·厄尔克斯
Gert-Dietmar Klause,格特-迪特马尔·克劳泽
Maurizio Gaudino,毛里齐奥·高迪诺
Rudolf Hoffmann (Fußballspieler),鲁迪·霍夫曼
Melitta Schenk Gräfin von Stauffenberg,美琳塔·申克·格拉芬·馮·史陶芬堡
Gustav Noske,古斯塔夫·諾斯克
Joschka Fischer,约瑟夫·菲舍尔
Georg Friedrich Prinz von Preußen,普魯士的格奧爾格·腓特烈
Rudolf Caracciola,鲁道夫·卡拉乔拉
Hans Pfitzner,汉斯·普菲茨纳
Thomas de Maizière,托马斯·德迈齐埃
Lale Andersen,拉莉·安德森
Joachim Fest,約阿希姆·費斯特
Kurt Kuschela,库尔特·库舍拉
Elisabeth Auguste Sofie von der Pfalz,伊莉莎白·奧古斯塔·索菲
Christian Gille,克里斯蒂安·吉勒
Jens Müller (Rennrodler),延斯·米勒
Hans Furler,汉斯·富勒
Rudolf August (Braunschweig-Wolfenbüttel),魯道夫·奧古斯特·(不倫瑞克-沃爾芬比特爾)
Alfred Herrhausen,阿尔弗雷德·赫尔豪森
Andreas Kirchner,安德烈亚斯·基希纳
Friedrich August III. (Sachsen),弗里德里希·奥古斯特三世·(萨克森国王)
Katja Riemann,卡嘉·瑞曼
Mark Medlock,馬克·米洛克
Erwin Stresemann,埃尔温·施特雷泽曼
Carl Herzog von Württemberg,卡爾·(符騰堡)
Severin Freund,泽韦林·弗罗因德
Marika Kilius,玛丽卡·基柳斯
Viola Bauer,维奥拉·鲍尔
Hans-Jürgen Bäumler,汉斯-于尔根·博伊姆勒
Anton Günther Herzog von Oldenburg,安东-京特尔·(奥尔登堡)
Olaf Heukrodt,奥拉夫·霍伊克罗特
Erwin Blask,埃尔温·布拉斯克
Wolf Erlbruch,沃夫·艾爾布魯赫
Philipp II. (Baden-Baden),腓力二世·(巴登-巴登)
Sizzo von Schwarzburg,西佐·(施瓦茨堡亲王)
Herwig Schopper,赫维希·朔佩尔
Monika Ertl,莫妮卡·埃特尔
Annette Kolb,安妮特·柯爾伯
Heinz London,海因茨·倫敦
Manuel Fischer,曼努埃爾·菲舍爾
Alfred Schlemm,阿爾弗雷德·施勒姆
Robert Pilger (Botaniker),罗伯特·克努兹·弗里德里希·皮尔格
Georg Alexander Herzog zu Mecklenburg,格奥尔格·亚历山大·(梅克伦堡)
Elisabeth von Bayern (1383–1442),巴伐利亞的伊莉莎白·(1383-1442)
Marco di Carli,馬可·迪卡利
Philipp Ludwig II. (Hanau-Münzenberg),菲利普·路德維希二世
Sebastian Leitner (Publizist),瑟巴斯坦·萊特納
Hans Zenker,漢斯·曾克爾
Karl Rathgen,那特硁
Oskar Heinroth,奧斯卡·海因洛特
Herbert Hainer,赫伯特·海纳
Karl Larenz,卡尔·拉伦茨
Hans Pietsch (Go-Spieler),汉斯·皮奇
Christian Henrich Heineken,克萊斯頓·海瑞克·海尼根
Claus Roxin,克勞斯·羅可辛
Albert von Sachsen (Historiker),阿爾貝特·(邁森藩侯)
Christa Wolf,克里斯塔·沃尔夫
Georg von Oldenburg,格奥尔格·(奥尔登堡)
Günther Jauch,金特·尧赫
Josias von Heeringen,喬西亞斯·馮·赫林根
Thomas Brdarić,托马斯·布尔达里奇
Sebastian Bachmann,塞巴斯蒂安·巴赫曼
Antje Buschschulte,安特耶·布施舒尔特
Rudolf Augstein,鲁道夫·奥格斯坦
Nicole Reinhardt (Kanutin),妮科尔·赖因哈特
Franziska John,弗兰齐斯卡·韦伯
Miriam Welte,米丽亚姆·威尔特
Robert Förstemann,罗伯特·弗尔斯特曼
Hans Tropsch,汉斯·托罗普施
Gottlieb von Haeseler (Generalfeldmarschall),戈特利布·馮·海斯勒
Volker Zerbe,福尔克尔·策尔贝
Uwe Rosenberg,乌维·罗森伯格
Rudi Ball,鲁迪·巴尔
Johann (Pfalz-Gelnhausen),約翰·(普法爾茨-蓋爾恩豪森伯爵)
Dennis Bauer,登尼斯·鲍尔
Til Schweiger,蒂尔·施魏格尔
Kurt Tucholsky,库尔特·图霍尔斯基
Martin Walser,马丁·瓦尔泽
Anna Seghers,安娜·西格斯
Ivan Rebroff,伊凡·李布洛夫
Alfred Döblin,阿尔弗雷德·德布林
Anke Huber,安克·胡貝爾
Wilhelm Schickard,威廉·希卡德
Markus Wolf,马库斯·沃尔夫
Michael Groß,米夏埃尔·格罗斯
Wilhelm Souchon,威廉·蘇雄
Ferdinand Leitner,费迪南德·莱特纳
Wilhelm Röpke (Wirtschaftswissenschaftler),威廉·洛卜克
Hannah Stockbauer,汉娜·施托克鲍尔
Friedrich von Ingenohl,腓特烈·馮·英格諾爾
Rüdiger Gamm,吕迪格尔·加姆
Liesel Westermann,莉泽尔·韦斯特曼
Juan Linz,胡安·林茲
Johann II. (Pfalz-Zweibrücken-Veldenz),約翰二世·(普法爾茨-茨魏布呂肯)
Sven Schipplock,斯文·席普洛克
Sven Schmid (Fechter),斯文·施密德
Bastian Steger,巴斯蒂安·斯特格
Gustav Samuel Leopold (Pfalz-Zweibrücken),古斯塔夫·薩穆爾·利奧波德
Stephan Vuckovic,斯特凡·武奇科维奇
Ludwig I. (Pfalz-Zweibrücken),路德維希一世·(普法爾茨-茨魏布呂肯)
Hans Knappertsbusch,汉斯·克纳佩茨布施
Eugen Jochum,欧根·约胡姆
Claudia Pechstein,克劳迪娅·佩希施泰因
Lothar de Maizière,洛塔尔·德梅齐埃
Armin Meiwes,阿明·迈韦斯
Wilhelm der Jüngere (Braunschweig-Lüneburg),年輕者威廉
Ernst Baier,恩斯特·拜尔
Thomas Berthold,托马斯·贝特霍尔德
Wilhelm (Jülich-Kleve-Berg),威廉·(于利希-克萊沃-貝格)
Carl Friedrich Goerdeler,卡尔·格德勒
Heiner Müller,海纳·穆勒
August Kopff,奥古斯特·科普夫
Christina Ackermann,克里斯蒂娜·盖格尔
Manuela Henkel,曼努埃拉·亨克尔
Ferdinand Maximilian von Baden-Baden,斐迪南·馬克西米利安·(巴登-巴登)
Richard zu Sayn-Wittgenstein-Berleburg,理查·塞恩-維特根施泰因-貝勒堡
Georg Meissner,乔治·迈斯纳
Hans von Beseler,漢斯·馮·貝瑟勒
Torsten Albig,托斯滕·阿爾比希
Dietrich Dörner,迪特里希·多纳
Gustav Fehn,古斯塔夫·费恩
Josef Fendt,约瑟夫·芬特
Ruth Fuchs,露特·富克斯
Hans Scharoun,漢斯·夏隆
Arnold Schwassmann,弗利德里希·卡尔·阿诺德·施瓦斯曼
Benno Ohnesorg,本诺·奥内佐格
Theo Morell,特奥多尔·莫雷尔
Günter Schabowski,君特·沙博夫斯基
Victor Klemperer,维克多·克伦佩勒
Andreas Scholl (Sänger),安德瑞斯·修爾
Heinrich Hoffmann (Fotograf),海因里希·霍夫曼·(摄影师)
Frank Luck,弗兰克·卢克
Harald Quandt,哈罗德·匡特
Richard Freitag,里夏德·弗赖塔格
Philip Agee,费利佩·阿吉
Jürgen Kocka,于尔根·科卡
Reinhard Genzel,赖因哈德·根策尔
Johann Andreas von Segner,约翰·安德烈亚斯·泽格纳
Therese von Bayern,特蕾澤公主·(巴伐利亞)
Fritz Honka,弗里茨·洪卡
Frank Wieneke,弗兰克·维内克
Paul Schockemöhle,保罗·朔克默勒
Jürgen Bartsch,尤尔根·巴奇
Thomas Endres,托马斯·恩德雷斯
Annegret Kramp-Karrenbauer,安妮格雷特·克兰普-卡伦鲍尔
Franz-Peter Tebartz-van Elst,方濟各-伯多祿·特巴茲-凡·埃爾斯特
Franz Josef Jung,弗朗茨·约瑟夫·荣格
Otto Ernst Remer,奧托·恩斯特·雷莫
Wilhelm Groener,威廉·格勒納
Hermann Weingärtner,赫尔曼·魏因加特纳
Aljona Savchenko,阿廖娜·薩夫琴科
Albert von Thurn und Taxis (1867–1952),阿爾貝特一世·(圖恩和塔克西斯)
Sophie Charlotte von Oldenburg,歐登堡的索菲·夏洛特
Dietmar Hopp,迪特马尔·霍普
Rochus Misch,罗克斯·米施
Moritz Fürste,莫里茨·菲尔斯特
Ludwig Müller (Theologe),路德维希·穆勒
Ludwig II. (Pfalz-Zweibrücken),路德維希二世·(普法爾茨-茨魏布呂肯)
Gunther von Hagens,冈瑟·冯·海根斯
Daniel Becke,达尼埃尔·贝克
Ernst August I. (Sachsen-Weimar-Eisenach),恩斯特·奧古斯特一世·(薩克森-魏瑪-艾森納赫)
August Ludwig (Anhalt-Köthen),奧古斯特·路德維希·(安哈特-克滕)
Rosemarie Trockel,罗斯玛丽·特罗克尔
Kurt Schumacher,庫爾特·舒馬赫
Konrad Henlein,康拉德·亨莱因
Wilhelm Gustloff,威廉·古斯特洛夫
Hans Krebs (Offizier),漢斯·克雷布斯
Wilhelm Burgdorf,威廉·布格多夫
Wolfgang Graf Berghe von Trips,沃尔夫冈·冯·特里普斯
Carl Stumpf,卡尔·斯图姆夫
Karl Otto Koch,卡尔-奥托·科赫
Rosemarie Ackermann,罗斯玛丽·阿克曼
Hans Heinrich Lammers,漢斯·蘭馬斯
Ludwig von Battenberg,第一代米爾福德黑文侯爵路易·亞歷山大·蒙巴頓
Otto Liman von Sanders,奥托·冯·桑德斯
Heike Makatsch,海克·瑪卡琪
Albert Göring,阿爾伯特·戈林
Gudrun Burwitz,古德伦·伯维茨
Bert Hellinger,伯特·海灵格
Alexander von Falkenhausen (General),亚历山大·冯·法肯豪森
Norbert Lammert,諾貝特·拉默特
Karl (Hessen-Kassel),卡爾一世·(黑森-卡塞爾)
Amalie zu Solms-Braunfels,索爾姆斯-布勞恩費爾斯的阿瑪莉埃
Curd Jürgens,庫德·尤爾根斯
Franziska van Almsick,弗兰齐斯卡·范阿尔姆齐克
Lothar Rendulic,洛塔爾·倫杜利克
August Diehl,奥古斯特·迪尔
Jörg Fiedler,约尔格·菲德勒
Christian Ludwig von Brandenburg-Schwedt,克里斯蒂安·路德維希·(布蘭登堡-施韋特)
Johann Amerbach,约翰内斯·阿默巴赫
Volker Bouffier,福尔克·布菲耶
Gesa Felicitas Krause,格萨·菲莉齐塔·克劳泽
Michael Steinbach,米夏埃尔·施泰因巴赫
Franz von Hipper,弗朗茲·馮·希佩爾
Erich Priebke,埃里希·普里布克
Johann Reichhart,约翰·赖希哈特
Tomas Maier,托馬斯·邁爾
Herbert Kegel,赫伯特·科格
Gotthard Handrick,戈特哈德·汉德里克
Max Trapp,馬克斯·特拉普
Nicolas Limbach,尼古拉斯·林巴赫
Christine Wenzel,克里斯蒂娜·文策尔
Aslı Bayram,阿斯莉·拜拉姆
Otfried Höffe,奥特弗利德·赫费
Karl-Jesko von Puttkamer,卡尔-耶斯科·冯·普特卡默
Marie Luise von Hessen-Kassel,瑪麗·路易絲·(黑森-卡塞爾)
Karl III. Philipp (Pfalz),卡爾三世·菲利普
Thomas Hoeren,托马斯·霍伦
Theodor Tolsdorff,西奧多·多斯多夫
Manfred Stolpe,曼弗雷德·施托尔珀
Berthold IV. (Zähringen),貝托爾德四世·(哲林根)
Balthasar Hubmaier,胡伯邁爾
Maria Sibylla Merian,瑪麗亞·西碧拉·梅里安
Johann Wilhelm (Sachsen-Eisenach),約翰·威廉·(薩克森-艾森納赫)
Johann (Pfalz-Neumarkt),普法爾茨-諾伊馬克特伯爵約翰
Johann Christian Joseph (Pfalz-Sulzbach),約翰·克里斯蒂安·(普法爾茨-蘇爾茨巴赫)
Bernhard Grzimek,伯恩哈德·格日梅克
Friedrich von Baden-Durlach,巴登-杜拉赫的腓特烈
Otto Günsche,奧托·京舍
Sebastian Haffner,賽巴斯提安·哈夫納
Viktoria Luise von Preußen,普鲁士的维多利亚·路易丝
Carl Runge,卡爾·龍格
Andrea Petković,安德烈婭·佩特科維奇
Anna-Lena Grönefeld,安娜-莱娜·歌恩菲特
Alexander Parvus,亚历山大·洛夫维奇·帕尔乌斯
Bruno Labbadia,布鲁诺·拉巴迪亚
Erwin Casmir,埃尔温·卡斯米尔
Johann IV. (Sachsen-Lauenburg),約翰五世·(薩克森-勞恩堡)
Wilhelm Ludwig (Nassau-Dillenburg),威廉·洛德韦克·(拿骚-迪伦堡)
Max Raabe,马克斯·拉伯
Herbert Otto Gille,赫伯特·奧托·吉爾
Magnus Hirschfeld,马格努斯·赫希菲尔德
Berthold Markgraf von Baden,巴登的貝托爾德
Albert Leo Schlageter,阿尔伯特·莱奥·施拉格特
Reiner Haseloff,雷勒·哈瑟夫
Hermann III. (Baden),赫爾曼三世·(巴登)
André Willms,安德烈·维尔姆斯
Sandra Sachse,桑德拉·萨克塞
Maximilian von Weichs,马克西米利安·冯·魏克斯
Wilhelm von Preußen (1882–1951),威廉·(德国皇储)
Roland Freisler,羅蘭德·弗萊斯勒
Shawn Bradley,肖恩·布拉德利
Joachim Ernst von Anhalt,约阿希姆·恩斯特
Erwin Panofsky,歐文·潘諾夫斯基
Viktoria von Hessen-Darmstadt,维多利亚公主·(黑森和莱茵)
Armin Hary,阿明·哈里
Helmut Knochen,赫尔穆特·克诺亨
Paul Löbe,保罗·勒伯
Johann Fischart,约翰·菲沙尔特
Matthias Platzeck,马蒂亚斯·普拉策克
Oswald Pohl,奥斯瓦尔德·波尔
Viktoria von Baden,巴登的維多利亞
Maria Anna von der Pfalz (1667–1740),诺伊堡的玛丽亚·安娜
Thomas Kretschmann,托马斯·克莱舒曼
Erich Auerbach,埃里希·奥尔巴赫
Christian Reitz (Sportschütze),克里斯蒂安·赖茨
Karl Hanke,卡爾·漢克
Bernhard Rust,伯恩哈德·鲁斯特
John Rabe,约翰·拉贝
Emma zu Waldeck und Pyrmont,埃玛公主·(瓦尔德克-皮尔蒙特)
Ernst August (Braunschweig),恩斯特·奧古斯特·(布藍茲維公爵)
Wilhelm Ernst (Sachsen-Weimar),威廉·恩斯特·(薩克森-威瑪)
Antje Traue,安婕·特拉乌
Erwin Sellering,埃爾溫·塞勒林
Reinhard Bonnke,布永康
Albrecht Brandi,阿爾布雷希特·布蘭迪
Günter Wand,君特·旺德
Fritz Thyssen,弗利茨·蒂森
Joel Matip,喬爾·馬蒂普
Alexander Pusch,亚历山大·普施
Gisela Arendt,吉塞拉·阿伦特
Paul Schultze-Naumburg,保罗·舒尔策-瑙姆堡
Johann André,約翰·安德雷
Falk Boden,法尔克·博登
Johann VI. (Nassau-Dillenburg),扬六世·(拿骚-迪伦堡)
Sophie Hedwig von Braunschweig-Wolfenbüttel,索菲·黑德维希·(布伦瑞克-沃尔芬比特尔)
Hans Spemann,漢斯·斯佩曼
Heinrich von Preußen (1862–1929),普魯士的海因里希·(1862年)
Anna Charlotte Amalie von Nassau-Dietz-Oranien,拿騷-迪茨的阿瑪莉埃
Franke Sloothaak,弗兰克·斯洛塔克
Ernst Casimir (Nassau-Dietz),恩斯特·卡西米爾·(拿騷-迪茨)
Enno Ludwig (Ostfriesland),埃諾·路德維希·(東菲士蘭)
Kurt Daluege,庫爾特·達呂格
Hans-Jürgen von Arnim,漢斯-于爾根·馮·阿尼姆
Felix Steiner,费利克斯·施泰纳
Ramin Djawadi,拉民·贾瓦迪
Peter Petersen (Pädagoge),彼得·彼得森
Albert von Le Coq,阿尔伯特·冯·勒柯克
Meinhard Nehmer,迈因哈德·内默
Magnus II. (Mecklenburg),馬格努斯二世·(梅克倫堡)
Fritz Spengler,弗里茨·斯彭格勒
Stefanie Zweig,斯蒂芬妮·茨威格
Elisabeth Röhm,伊麗莎白·羅姆
Richard Glücks,理查德·格吕克斯
Hermann-Bernhard Ramcke,赫曼-柏恩哈特·雷姆克
Frank Ullrich,弗兰克·乌尔里希
Dietrich von Saucken,迪特里希·馮·紹肯
Erich I. (Braunschweig-Lüneburg-Calenberg-Göttingen),埃里希一世·(布倫瑞克-卡倫貝格-哥廷根)
Carl von Cosel,卡尔·坦泽勒
Friedrich Meinecke,弗里德里希·梅尼克
Christian Henn,克里斯蒂安·亨
Hans-Ulrich Wehler,漢斯-烏爾里希·韋勒
Jan Hendrik Schön,舍恩事件
Jens Fiedler (Radsportler),延斯·菲德勒
Ferdinand Beyer,费迪南德·拜厄
Torsten Gutsche,托尔斯滕·古切
Albrecht (Sachsen-Eisenach),阿爾布雷希特·(薩克森-艾森納赫公爵)
Helena Fromm,海伦娜·弗罗姆
Torsten Eckbrett,托尔斯滕·埃克布雷特
Wilhelm Kreis,威廉·克赖斯
Jochen Schümann,约亨·许曼
Oskar Fischinger,奥斯卡·费钦格
Hermann I. (Baden),赫爾曼一世·(巴登)
Hermann V. (Baden),赫爾曼五世·(巴登)
Adolf Martens,阿道夫·馬滕斯
Otto Franke (Sinologe),福兰阁
Bernhard Glass,伯恩哈德·格拉斯
Carolin Leonhardt,卡罗琳·莱昂哈特
Tim Wieskötter,蒂姆·维斯克特
Karl Schulze (Ruderer),卡尔·舒尔策
Luise Elisabeth von Kurland,庫爾蘭的路易絲·伊莉莎白
Sabina von Bayern,巴伐利亞的莎碧娜
Ernst-Günther Baade,恩斯特-君瑟·巴德
Karl-Heinrich von Groddeck,卡尔-海因里希·冯·格罗德克
Bernhard Rogge (Marineoffizier),伯恩哈德·罗格
"Eberhard II. (Württemberg, Graf)",埃伯哈德二世·(符騰堡伯爵)
Marie von Mecklenburg-Strelitz,梅克倫堡-施特雷利茨的瑪麗
Friedrich Wilhelm von Hohenzollern,弗里德里希·威廉·(霍亨索伦)
Cornell Borchers,科内尔·博尔歇斯
Rolf Landauer,罗夫·兰道尔
Eleonore Wilhelmine von Anhalt-Köthen,艾蕾諾爾·威廉明妮·(安哈特-克滕)
Karl August von Thurn und Taxis,卡爾·奧古斯特·(圖恩和塔克西斯)
Willy Hellpach,威利·赫尔帕奇
Heinrich Blasius,保羅·理查德·海因里希·布拉修斯
Ulrich Wickert,乌利希·威克尔特
Johannes Ludwig (Rennrodler),约翰内斯·路德维希
Johann Ernst I. (Sachsen-Weimar),約翰·恩斯特一世
Adolf Wilhelm (Sachsen-Eisenach),阿道夫·威廉·(薩克森-艾森納赫)
Frank Beck,弗兰克·贝克·(击剑运动员)
Marc Huster,马克·胡斯特尔
Else Lasker-Schüler,埃尔泽·拉斯克-许勒尔
August Horch,奥古斯特·霍希
Vittorio Hösle,维托里奥·赫斯勒
Berthold Laufer,贝特霍尔德·劳费尔
Udo Beyer,乌多·拜尔
Hans-Jürgen Stumpff,漢斯-于爾根·施通普夫
Gustav Embden,古斯塔夫·恩伯登
Bodo Bittner,博多·比特纳
Melitta Sollmann,梅莉塔·绍尔曼
Holger Behrendt,霍尔格·贝伦特
Ilse Koch,伊尔斯·科赫
Christoph von Dohnányi,克里斯托夫·冯·多赫南伊
Wilhelm Ernst (Sachsen-Weimar-Eisenach),威廉·恩斯特·(萨克森-魏玛-艾森纳赫)
Kurt Schmitt,库尔特·施密特
Timo Boll,蒂莫·波尔
Stephan Hocke,斯特凡·霍克
Joachim Lemelsen,约阿希姆·莱默尔森
Adolf (Pfalz),普法爾茨的阿道夫
Walter Noddack,瓦尔特·诺达克
Karl von Einem,卡爾·馮·艾內姆
Erwin Jaenecke,埃爾溫·耶內克
Paul Moritz Warburg,保罗·沃伯格
Maria Kliegel,玛丽亚·克利格尔
Otto Schott,奥托·肖特
Siegfried Brietzke,西格弗里德·布里茨克
Ulrich de Maizière,乌尔里希·德梅齐埃
Caroline Link,卡洛琳·林克
Kathrin Neimke,卡特琳·奈姆克
Ludwig V. (Pfalz),路德維希五世·(普法爾茨)
Julius (Braunschweig-Wolfenbüttel),尤里烏斯·(布倫瑞克-沃爾芬比特爾)
"Eberhard III. (Württemberg, Graf)",埃伯哈德三世·(符騰堡伯爵)
Ulay,乌雷
Klaus Ploghaus,克劳斯·普洛格豪斯
