stefano cerioni,스테파노 체리오니,seutepano cerioni
tiziano ferro,티지아노 페로,tijiano pero
giovanni galli,조반니 갈리,jobanni galri
tony terlazzo,앤서니 털러조,aenseoni teolreojo
pietro parolin,피에트로 파롤린,pieteuro parolrin
alberto braglia,알베르토 브랄리아,albereuto beuralria
renzo piano,렌초 피아노,renco piano
alberto aquilani,알베르토 아퀼라니,albereuto akwilrani
vincenzo iaquinta,빈첸초 이아퀸타,bincenco iakwinta
thiago motta,티아고 모타,tiago mota
andrea baldini,안드레아 발디니,andeurea baldini
andrea aureli,안드레아 오렐리,andeurea orelri
ruggiero rizzitelli,루제로 리치텔리,rujero ricitelri
omero tognon,오메로 토뇬,omero tonyon
giuseppe meazza,주세페 메아차,jusepe meaca
benedetto croce,베네데토 크로체,benedeto keuroce
aldo protti,알도 프로티,aldo peuroti
mario castelnuovotedesco,마리오 카스텔누오보테데스코,mario kaseutelnuobotedeseuko
giulia michelini,줄리아 미켈리니,julria mikelrini
angelo infanti,안젤로 인판티,anjelro inpanti
andrea cassarà,안드레아 카사라,andeurea kasara
andrea carnevale,안드레아 카르네발레,andeurea kareunebalre
pietro rava,피에트로 라바,pieteuro raba
andrea cossu,안드레아 코수,andeurea kosu
andrea collinelli,안드레아 콜리넬리,andeurea kolrinelri
mario zanin,마리오 차닌,mario canin
roger piantoni,로제 피앙토니,roje piangtoni
ugo fano,우고 파노,ugo pano
gianni rodari,잔니 로다리,janni rodari
angelo bagnasco,안젤로 바냐스코,anjelro banyaseuko
pierluigi casiraghi,피에를루이지 카시라기,piereulruiji kasiragi
emanuele giaccherini,에마누엘레 자케리니,emanuelre jakerini
andrea fortunato,안드레아 포르투나토,andeurea poreutunato
maurizio stecca,마우리지오 스테카,maurijio seuteka
guido cantelli,귀도 칸텔리,gwido kantelri
gelindo bordin,젤린도 보르딘,jelrindo boreudin
adriano celentano,아드리아노 첼렌타노,adeuriano celrentano
samantha cristoforetti,사만타 크리스토포레티,samanta keuriseutoporeti
ildebrando pizzetti,일데브란도 피체티,ildebeurando piceti
andrea mantovani,안드레아 만토바니,andeurea mantobani
andrea minguzzi,안드레아 민구치,andeurea minguci
andrea mandorlini,안드레아 만도를리니,andeurea mandoreulrini
sara gama,사라 가마,sara gama
anita caprioli,아니타 카프리올리,anita kapeuriolri
maximilian sciandri,맥시밀리언 시안드리,maegsimilrieon siandeuri
pietro badoglio,피에트로 바돌리오,pieteuro badolrio
stefano baldini,스테파노 발디니,seutepano baldini
giancarlo antognoni,잔카를로 안토뇨니,jankareulro antonyoni
domenico modugno,도메니코 모두뇨,domeniko modunyo
giorgio di centa,조르조 디 첸타,joreujo di centa
francesco moriero,프란체스코 모리에로,peuranceseuko moriero
francesco zagatti,프란체스코 차가티,peuranceseuko cagati
guccio gucci,구찌오 구찌,gujjio gujji
roberto calvi,로베르토 칼비,robereuto kalbi
luca rossettini,루카 로세티니,ruka rosetini
margherita buy,마르게리타 부이,mareugerita bui
mattia de sciglio,마티아 데 실리오,matia de silrio
robert acquafresca,로베르트 아콰프레스카,robereuteu akwapeureseuka
giuliano amato,줄리아노 아마토,julriano amato
carolina crescentini,카롤리나 크레센티니,karolrina keuresentini
michele placido,미켈레 플라치도,mikelre peulracido
giuseppe occhialini,주세페 오키알리니,jusepe okialrini
giovanni pasquale,조반니 파스콸레,jobanni paseukwalre
arturo dominici,아르투로 도미니치,areuturo dominici
simone pepe,시모네 페페,simone pepe
isabella rossellini,이사벨라 로셀리니,isabelra roselrini
raoul bova,라울 보바,raul boba
jacopo amigoni,자코포 아미고니,jakopo amigoni
mattia destro,마티아 데스트로,matia deseuteuro
franco modigliani,프란코 모디글리아니,peuranko modigeulriani
samuele longo,사무엘레 론고,samuelre rongo
giovanni battista caproni,조반니 바티스타 카프로니,jobanni batiseuta kapeuroni
stéphane grappelli,스테판 그라펠리,seutepan geurapelri
flavia pennetta,플라비아 펜네타,peulrabia penneta
federico casarini,페데리코 카사리니,pederiko kasarini
michele pazienza,미켈레 파치엔차,mikelre pacienca
carlo cudicini,카를로 쿠디치니,kareulro kudicini
roberto cammarelle,로베르토 캄마렐레,robereuto kammarelre
michele ferri,미켈레 페리,mikelre peri
claudio villa,클라우디오 빌라,keulraudio bilra
marco andreolli,마르코 안드레올리,mareuko andeureolri
nico pulzetti,니코 풀체티,niko pulceti
tarcisio burgnich,타르치시오 부르니치,tareucisio bureunici
nicolas bean,니콜라스 빈,nikolraseu bin
giovanni ferrari,조반니 페라리,jobanni perari
davide biondini,다비데 비온디니,dabide biondini
nino cerruti,니노 세루티,nino seruti
giacomo bulgarelli,자코모 불가렐리,jakomo bulgarelri
lido vieri,리도 비에리,rido bieri
tranquillo barnetta,트란퀼로 바르네타,teurankwilro bareuneta
leonardo bonucci,레오나르도 보누치,reonareudo bonuci
lamberto dini,람베르토 디니,rambereuto dini
lucky luciano,러키 루치아노,reoki ruciano
federico macheda,페데리코 마케다,pederiko makeda
igor markevitch,이고르 마르케비치,igoreu mareukebici
antonello fassari,안토넬로 파사리,antonelro pasari
antonello cuccureddu,안토넬로 쿠쿠레두,antonelro kukuredu
pietro paolo virdis,피에트로 파올로 비르디스,pieteuro paolro bireudiseu
antonia truppo,안토니아 트루포,antonia teurupo
alessandro diamanti,알레산드로 디아만티,alresandeuro diamanti
andrea poli,안드레아 폴리,andeurea polri
franco albini,프란코 알비니,peuranko albini
gabriele amorth,가브리엘레 아모르트,gabeurielre amoreuteu
romeo neri,로메오 네리,romeo neri
giuseppe tomasi di lampedusa,주세페 토마시 디 람페두사,jusepe tomasi di rampedusa
antonio nocerino,안토니오 노체리노,antonio nocerino
alessandro costacurta,알레산드로 코스타쿠르타,alresandeuro koseutakureuta
ignazio abate,이냐치오 아바테,inyacio abate
christian maggio,크리스티안 마조,keuriseutian majo
sebastian giovinco,세바스티안 조빈코,sebaseutian jobinko
mario corso,마리오 코르소,mario koreuso
agostina belli,아고스티나 벨리,agoseutina belri
salvatore baccaro,살바토레 바카로,salbatore bakaro
jovanotti,조바노티,jobanoti
fabio cudicini,파비오 쿠디치니,pabio kudicini
sergio bertoni,세르조 베르토니,sereujo bereutoni
nino rota,니노 로타,nino rota
luciano floridi,루치아노 플로리디,ruciano peulroridi
domenico criscito,도메니코 크리시토,domeniko keurisito
milo manara,밀로 마나라,milro manara
nevio scala,네비오 스칼라,nebio seukalra
cesare prandelli,체사레 프란델리,cesare peurandelri
graziano pellè,그라치아노 펠레,geuraciano pelre
eusebio di francesco,에우세비오 디 프란체스코,eusebio di peuranceseuko
antonio cantafora,안토니오 캔타포라,antonio kaentapora
matteo contini,마테오 콘티니,mateo kontini
gianluigi lentini,잔루이지 렌티니,janruiji rentini
mattia cassani,마티아 카사니,matia kasani
morgan de sanctis,모르간 데 산크티스,moreugan de sankeutiseu
giacinto facchetti,자친토 파케티,jacinto paketi
giampaolo pazzini,잠파올로 파치니,jampaolro pacini
mauro bellugi,마우로 벨루지,mauro belruji
daniele galloppa,다니엘레 갈로파,danielre galropa
cristiano lupatelli,크리스티아노 루파텔리,keuriseutiano rupatelri
fausto coppi,파우스토 코피,pauseuto kopi
lucas leiva,루카스 레이바,rukaseu reiba
simone martini,시모네 마르티니,simone mareutini
bud spencer,버드 스펜서,beodeu seupenseo
alex gaudino,알렉스 가우디노,alregseu gaudino
luciano berio,루치아노 베리오,ruciano berio
riccardo ferri,리카르도 페리,rikareudo peri
pino dordoni,피노 도르도니,pino doreudoni
pietro ferraris,피에트로 페라리스,pieteuro perariseu
davide brivio,다비데 브리비오,dabide beuribio
claudio graziano,클라우디오 그라치아노,keulraudio geuraciano
massimo maccarone,마시모 마카로네,masimo makarone
antonino barillà,안토니노 바릴라,antonino barilra
andrea petagna,안드레아 페타냐,andeurea petanya
roberto soriano,로베르토 소리아노,robereuto soriano
nichi vendola,니키 벤돌라,niki bendolra
alessandro nesta,알레산드로 네스타,alresandeuro neseuta
gigliola cinquetti,질리올라 칭케티,jilriolra cingketi
donatella versace,도나텔라 베르사체,donatelra bereusace
renata tebaldi,레나타 테발디,renata tebaldi
gianni rivera,잔니 리베라,janni ribera
valentina vezzali,발렌티나 베찰리,balrentina becalri
fabio grosso,파비오 그로소,pabio geuroso
valeria solarino,발레리아 솔라리노,balreria solrarino
toni servillo,토니 세르빌로,toni sereubilro
facundo roncaglia,파쿤도 롱카글리아,pakundo rongkageulria
ezequiel schelotto,에제키엘 스켈로토,ejekiel seukelroto
angelo anquilletti,안젤로 안퀼레티,anjelro ankwilreti
sandro puppo,산드로 푸포,sandeuro pupo
antonio floro flores,안토니오 플로로 플로레스,antonio peulroro peulroreseu
alice rohrwacher,알리체 로르바케르,alrice roreubakereu
giancarlo esposito,잔카를로 에스포지토,jankareulro eseupojito
domenico fioravanti,도메니코 피오라반티,domeniko piorabanti
stefano morrone,스테파노 모로네,seutepano morone
enrico fabris,엔리코 파브리스,enriko pabeuriseu
jury chechi,유리 케키,yuri keki
federico lombardi,페데리코 롬바르디,pederiko rombareudi
giuseppe dossena,주세페 도세나,jusepe dosena
luigi de agostini,루이지 데 아고스티니,ruiji de agoseutini
antonio mirante,안토니오 미란테,antonio mirante
antonio juliano,안토니오 율리아노,antonio yulriano
mina,미나,mina
valeria golino,발레리아 골리노,balreria golrino
mirella freni,미렐라 프레니,mirelra peureni
carlo maria giulini,카를로 마리아 줄리니,kareulro maria julrini
moira orfei,모이라 오페이,moira opei
emilio pucci,에밀리오 푸치,emilrio puci
guido castelnuovo,귀도 카스텔누오보,gwido kaseutelnuobo
ernesto ambrosini,에르네스토 암브로시니,ereuneseuto ambeurosini
giacomo bonaventura,자코모 보나벤투라,jakomo bonabentura
gino fano,지노 파노,jino pano
simone perrotta,시모네 페로타,simone perota
luigi beccali,루이지 베칼리,ruiji bekalri
claudio gora,클라우디오 고라,keulraudio gora
paolo virzì,파올로 비르지,paolro bireuji
giancarlo marocchi,잔카를로 마로키,jankareulro maroki
gianna nannini,잔나 난니니,janna nannini
asia argento,아시아 아르젠토,asia areujento
valeria bruni tedeschi,발레리아 브루니 테데스키,balreria beuruni tedeseuki
sabrina salerno,사브리나 살레르노,sabeurina salrereuno
alba rohrwacher,알바 로르바케르,alba roreubakereu
carlo rota,카를로 로타,kareulro rota
miki biasion,미키 비아시온,miki biasion
alessandra panaro,알레산드라 파나로,alresandeura panaro
nicola pavarini,니콜라 파바리니,nikolra pabarini
ercole rabitti,에르콜레 라비티,ereukolre rabiti
raf vallone,라프 발로네,rapeu balrone
bruno de finetti,브루노 데 피네티,beuruno de pineti
arnaldo forlani,아르날도 포를라니,areunaldo poreulrani
maria valtorta,마리아 발토르타,maria baltoreuta
chiara mastalli,키아라 마스탈리,kiara maseutalri
giulia rubini,줄리아 루비니,julria rubini
eleonora giorgi,엘레오노라 조르지,elreonora joreuji
lino banfi,리노 밴피,rino baenpi
antonio rosati,안토니오 로사티,antonio rosati
pierino prati,피에리노 프라티,pierino peurati
roberto pruzzo,로베르토 프루초,robereuto peuruco
alessandro lucarelli,알레산드로 루카렐리,alresandeuro rukarelri
tommaso berni,톰마소 베르니,tommaso bereuni
giulio natta,줄리오 나타,julrio nata
carolina kostner,카롤리나 코스트너,karolrina koseuteuneo
nina ricci,니나 리치,nina rici
francesco toldo,프란체스코 톨도,peuranceseuko toldo
tony dallara,토니 달라라,toni dalrara
federica pellegrini,페데리카 펠레그리니,pederika pelregeurini
luigi russolo,루이지 루솔로,ruiji rusolro
mariangela giordano,마리안젤라 지오르다노,marianjelra jioreudano
marco amelia,마르코 아멜리아,mareuko amelria
maria grazia cucinotta,마리아 그라치아 쿠치노타,maria geuracia kucinota
iva zanicchi,이바 자니키,iba janiki
luca bucci,루카 부치,ruka buci
barbora bobuľová,바르보라 보불로바,bareubora bobulroba
daniele bonera,다니엘레 보네라,danielre bonera
claudio ranieri,클라우디오 라니에리,keulraudio ranieri
peter capaldi,피터 카팔디,piteo kapaldi
cosimo pinto,코시모 핀토,kosimo pinto
rossella fiamingo,로셀라 피아밍고,roselra piaminggo
erno crisa,에르노 크리사,ereuno keurisa
pietro arcari,피에트로 아르카리,pieteuro areukari
alessandro safina,알레산드로 사피나,alresandeuro sapina
giuseppe bergomi,주세페 베르고미,jusepe bereugomi
anna bonaiuto,안나 보나이우토,anna bonaiuto
sofonisba anguissola,소포니스바 안귀솔라,soponiseuba angwisolra
greta scacchi,그레타 스카키,geureta seukaki
gala,갈라,galra
romina power,로미나 포베르,romina pobereu
anna oxa,안나 옥사,anna ogsa
fiona may,피오나 마이,piona mai
stefania sandrelli,스테파니아 산드렐리,seutepania sandeurelri
fiorenza cossotto,피오렌차 코소토,piorenca kosoto
laura antonelli,라우라 안토넬리,raura antonelri
irene galter,이렌 갈터,iren galteo
gianluca vialli,잔루카 비알리,janruka bialri
caterina murino,카테리나 무리노,katerina murino
ornella vanoni,오르넬라 바노니,oreunelra banoni
nina zilli,니나 질리,nina jilri
gianna beretta molla,잔나 베레타 몰라,janna bereta molra
milena vukotic,밀레나 부코티츠,milrena bukoticeu
ambra angiolini,암브라 안졸리니,ambeura anjolrini
catherine spaak,캐서린 스파크,kaeseorin seupakeu
luciana paluzzi,루시아나 팔루치,rusiana palruci
franco columbu,프란코 콜룸부,peuranko kolrumbu
luca antonelli,루카 안토넬리,ruka antonelri
marta gastini,마르타 가스티니,mareuta gaseutini
eleonora rossi drago,엘레오노라 로시 드라고,elreonora rosi deurago
francesco severi,프란체스코 세베리,peuranceseuko seberi
nando paone,난도 파오네,nando paone
giancarlo de sisti,잔카를로 데 시스티,jankareulro de siseuti
emanuele calaiò,에마누엘레 칼라이오,emanuelre kalraio
luigi sturzo,루이지 스투르초,ruiji seutureuco
sergio castellitto,세르조 카스텔리토,sereujo kaseutelrito
osvaldo bagnoli,오스발도 바뇰리,oseubaldo banyolri
carlo urbani,카를로 우르바니,kareulro ureubani
alessandro andrei,알레산드로 안드레이,alresandeuro andeurei
elisa santoni,엘리사 산토니,elrisa santoni
gianni clerici,잔니 클레리치,janni keulrerici
bruno venturini,브루노 벤투리니,beuruno benturini
letícia román,레티시아 로만,retisia roman
sylva koscina,실바 코스치나,silba koseucina
licia albanese,리차 알바네세,rica albanese
