vika jigulina,ヴィカ・ジグリーナ,vika・jigurīna
stadionul anghel iordănescu,スタディオヌル・アンゲル・ヨルダネスク,sutadionuru・angeru・yorudanesuku
softrans,ソフトトランス,sofutotoransu
dorna candrenilor,ドルナ・カンドレニロル,doruna・kandoreniroru
crasna,クラスナ,kurasuna
suhaia,スハヤ,suhaya
poarta focșanilor,フォクシャニ・ゲート,fokushani・gēto
transylvania open,トランシルヴァニア・オープン,toranshiruvania・ōpun
primvs derby,プリムヴス・デルビ,purimuvusu・derubi
bucharest,ブカレスト,bukaresuto
constanţa,コンスタンツァ,konsutantsa
iaşi,ヤシ,yashi
timişoara,ティミショアラ,timishoara
galaţi,ガラツィ,garatsi
târgovişte,トゥルゴヴィシュテ,turugovishute
moldoveanu,モルドベアヌサン,morudobeanusan
braşov,ブラショフ,burashofu
bistriţa,ビストリツァ,bisutoritsa
maramureş,マラムレシュケン,maramureshuken
botoşani,ボトシャニケン,botoshaniken
argeş,アルジェシュケン,arujeshuken
timiş,ティミシュケン,timishuken
neamţ,ネアムツケン,neamutsuken
mureş,ムレシュケン,mureshuken
mehedinţi,メヘディンチケン,mehedinchiken
călăraşi,カララシケン,kararashiken
ialomiţa,ヤロミツァケン,yaromitsaken
dâmboviţa,ドゥンボヴィツァケン,dunbovitsaken
europe,ヨーロッパ,yōroppa
carpathians,カルパティアサンミャク,karupatiasanmyaku
